,support,itemsets
97,0.5481293952180029,"('h-Nizka', 'pm25-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
45,0.5481293952180029,"('h-Nizka', 'pm25-Zelo dobra', 'pm4-Zelo dobra')"
48,0.5481293952180029,"('h-Nizka', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
141,0.5440225035161744,"('h-Nizka', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
42,0.5440225035161744,"('h-Nizka', 'no2-Zelo dobra', 'pm4-Zelo dobra')"
95,0.5440225035161744,"('h-Nizka', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
142,0.5440225035161744,"('h-Nizka', 'no2-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
94,0.5440225035161744,"('h-Nizka', 'no2-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
140,0.5440225035161744,"('h-Nizka', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
92,0.5440225035161744,"('h-Nizka', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'pm4-Zelo dobra')"
166,0.5440225035161744,"('h-Nizka', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
34,0.5078481012658228,"('benzen-Dobro', 'o3-Dobra')"
37,0.5078481012658228,"('nox-Zelo nizka', 'o3-Dobra')"
30,0.5078481012658228,"('pm25-Zelo dobra', 'o3-Dobra')"
87,0.5078481012658228,"('benzen-Dobro', 'nox-Zelo nizka', 'o3-Dobra')"
80,0.5078481012658228,"('pm25-Zelo dobra', 'benzen-Dobro', 'o3-Dobra')"
135,0.5078481012658228,"('pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'o3-Dobra')"
8,0.5078481012658228,"('o3-Dobra',)"
83,0.5078481012658228,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'o3-Dobra')"
126,0.5062728551336146,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'o3-Dobra')"
25,0.5062728551336146,"('no2-Zelo dobra', 'o3-Dobra')"
161,0.5062728551336146,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'o3-Dobra')"
123,0.5062728551336146,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'o3-Dobra')"
72,0.5062728551336146,"('no2-Zelo dobra', 'benzen-Dobro', 'o3-Dobra')"
75,0.5062728551336146,"('no2-Zelo dobra', 'nox-Zelo nizka', 'o3-Dobra')"
130,0.5062728551336146,"('no2-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'o3-Dobra')"
68,0.5062728551336146,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'o3-Dobra')"
